,Cw*01,Cw*02,Cw*03,Cw*04,Cw*05,Cw*06,Cw*07,Cw*08,Cw*12,Cw*14,Cw*15,Cw*16,Cw*17,Cw*18,Cw*30
A*01, 0.13004604882360957, -0.3155491920633397,-0.21280364369909896,0.056697443874088975, 0.13177708722865208,  1.1354945075612093,  1.0158689863079946, -0.8467710230110731, 0.20365093865372971,-0.089768243372627579,-0.32630004797728229, 0.16918171096847892,-0.13179594083491389,-0.62144495452755122,-0.29828367793183491
A*02, 0.11643222192247255,0.088894280905533987, 0.85229525634146486,-0.12635949807902619,  1.1081801423653863,-0.036638675279344342, 0.43685686564026505,0.021135346600415182, -0.2316676342860331, 0.28208044861810955,-0.42608765515093827,-0.14551870581446538,-0.28013510356403176, -1.0330296417459945,-0.62643764847377237
A*03,0.014909782205179545,0.071340158640194051, 0.52816452657601687,  0.0592075477238641, 0.23193009576503001,-0.052063264361504255, 0.79481483779162931,-0.74007940231268465, -0.2600744568632789,-0.27045506052779467, -0.6841573375043587,0.070165162932308373, -0.2474953541267573, 0.88204080215376768,-0.39824803809160314
A*07,-0.0036822562098762224,-0.0051541000402984642,-0.0071673389675642185,-0.0054962595645756448,-0.008574359047653652,-0.0029334767633562827,0.085836324237809153,-0.0017200030984481595,-0.011289945298799403,-0.00062536093279419263,-0.047145199915178446,0.010489449635504406,-0.0017647242020182217,-0.00055407206315419191,-0.00021867776959646944
A*11, 0.24556060990354342,-0.27319285284553629, 0.64739742173809478, 0.76356405118100612, 0.37937953670337732,-0.33096365472956613,  0.4793573918664561,-0.045174951142497054, -0.2294501148380762,-0.90624827720274792, 0.21406267591063699, 0.04517554023924153,-0.48083206308014736, -0.2611963087728259,-0.24743900493097151
A*20,-0.0018180973047656824,-0.0028694292241932865,-0.0039988953752286465,-0.0012738945848054101,-0.0042934149163934244,-0.0010649922414361439,0.023722973179106294,-0.0016066514440232131,-0.0017835815234291232,-0.00044671709813999809,-0.0018484147507260504,-0.0012559843291406708,-0.0011114782400844004,-0.00022343935890974269,-0.00012798278783050855
A*23,-0.073041551441911337,-0.39893703603532593,0.056672120038241645,  2.7477770016874432, -1.6036003725394681,  0.5008129321422834, 0.39249084236361675,-0.12794069379335282,-0.74539848552558574,0.028509011945713179,  1.3315238676008208,  -1.669648591359947,-0.25190098400343192,-0.11892453950176038,-0.068393521577335831
A*24,0.0057672077503289265, 0.45758793412403292, 0.67324993486095031,-0.41365358530314733,  0.4253798673304186,-0.29073449872444013,  0.5238125423170652,-0.91702228072090908,0.062574855956027575,-0.58226499589603886, 0.26282311003122716, 0.25819648436886689,-0.69239718396964178,-0.0076007958974870981, 0.23428140377275347
A*25,0.083906769860293093, 0.13707811739161069, 0.26720034656172054,-0.62042688076034036, 0.41283848263023709,-0.098856361893205194,-0.21506399959167705,-0.13836006838254772,  2.3968868758518824,-0.092726249832425944,-0.97840884154734498,  -0.645812443751691,-0.28410458914834047,-0.14632689487214343,-0.077824262516030265
A*26, 0.61815216174829823, -0.7415556504414631, 0.32522542507173136,-0.70737773366662593,-0.62779727335825897, 0.53173580058132563,-0.13817005562749754, 0.34743239523610553,  0.3998701762197544, 0.68445703370837241,-0.39011278518735282,-0.25260620296677894, 0.40219748383162035,-0.27414607652709039,-0.17730469862214454
A*29,0.047365907192306357,-0.78999705409169729,-0.77300337104940464,-0.78435309101205319, -1.4921696405060214,  1.1992643682444071,-0.63876183109841955,-0.19909627111097508,-0.09342263416391583,-0.051695162054543844,  1.4723397666288021,   2.364596556462768, 0.09526590559255195,-0.21003338735101748,-0.14630006168279411
A*30,-0.16489004468827326,0.033265137402622019,-0.45064528019124611, 0.57216577044021844,  2.2400537398175189, 0.12279103881850607, -1.0156105081725251,-0.47375295468856632, -1.1916820416838134,0.095401886372404487,-0.60337623314955746, 0.80118981949729118, 0.43593958666777438, -0.2613360043062985,-0.13951391213605216
A*31,  0.3625408716962551,-0.086388391210356782,  1.0248464416794345, 0.34486125104726895,0.052742309243967112,-0.19926868013908747, -0.1519899969744774, -0.1065256216438721, 0.43356191644948189,-0.013707639650548812, 0.41382432428730542, -1.0053662328985211,-0.71549655797381828,-0.23805502087072378,-0.11557897304230778
A*32, 0.37928047795834369, 0.62663081624039907,-0.62773668276220818,-0.43918357606162756, 0.96835743815772246,-0.54853631112802703, 0.50686787968167923,-0.25893444443025965,-0.013652344561272031,-0.40499646582309978, 0.04489016244233663, 0.10808296415368605, 0.19855868036173821,-0.34035291582040383,-0.19927567840901117
A*33,-0.13885127544164236, 0.66312516414312628,  1.0169817989724155,-0.25612724739733111,-0.17645099464128647,-0.57832782398672122, -1.0980306787680694,  1.1185776086357535,-0.40941815300381668,-0.037335221650086063,-0.70714089546368197, 0.44256517343128537,  0.3798522133103362,-0.14443824860196872,-0.074981419538310681
A*34,-0.28414419102577793,-0.26133229364855004,-0.0064217222933371041, 0.31632499716931045,-0.20540031877359413,-0.71599287156540659, 0.38225692019121121,  1.0140021412625546,-0.071344646047119625,-0.031153352670363232,-0.10874183001687478,-0.0032302891440883245,-0.014010891392085185,-0.0077833927359121143,-0.0030282593099670513
A*36,-0.23896902839051559, 0.48499200919054869,-0.045489767861848621, 0.12256948260752654, -0.1284213531248754, 0.14679634575271297, 0.32260809782565508, 0.56560283378033294,-0.52141697160411127,-0.22403061987198547,-0.27150315795985092,-0.16194250308929184,-0.029703931643702084,-0.015207890045460633,-0.0058835455651342046
A*66,-0.51517396768770907,-0.70639238841770147, -1.1340655429403688,-0.66198680823740219,0.034920636371656245, 0.22956751984904483,-0.77625391363593987,0.0016478156061805621,  1.3940172983925689, 0.30355493259254679,0.019020379621977116, 0.53666199542572834,  1.3398456500266491,-0.04005952735585392,-0.025304079611378059
A*68,-0.49081289651692039,-0.22898425555690199, 0.42647786279858618,-0.25055125298972569,-0.57148956334018586, 0.23824099506942395,  1.5036356632820911,-0.035345543187411593,-0.40093502566382783, 0.17364105159472107, 0.74279719242462416, -1.4626973691622454,-0.34537805667034049, 0.89399459318138108,-0.19259339526326791
A*69, 0.84073789556247092,-0.20808272635154379,-0.72962430766531483, -1.6083196481715627,-0.76797076078183202,0.014071745407416878,-0.019370253170467658, 0.61365336653233415,  1.2136152325750593, 0.20709507131088375,-0.077537960460624139, 0.64241353237881693,-0.067020874441079376,-0.03178006943792322,-0.021880243286634831
A*74, -0.3218398556066972,  1.3208746087287229,-0.96707784024814336,  1.5507519858858685,-0.52484518845128569, 0.11063214309909564,-0.59259673965376891,0.052462718840769279,-0.57773389518678742,-0.14038193293912296, 0.36130837460819071,-0.18171502245324789,-0.05750088206471133,-0.020307984286619465,-0.012030490272261699
A*80,-0.025757078402446142, 0.65649932441310899,-0.19588916689142002,0.045590540498907338,-0.079931929189016801,-0.096780821001704848,-0.017492007106747653,-0.012996207288211572,-0.22428211643894361,-0.0079405750722716349,-0.014847159212844189,-0.012787246279068621,-0.0090053381481662274,-0.0027512282830966179,-0.0016289915980783314
B*07,-0.55836948855557023,-0.27764759469080402,0.046113246791786071,-0.60289075381552615,-0.46530408432484549, -1.4713678537558048,  3.6651139234406815,-0.59648847021771068,0.061535171349954142,-0.71842357210326047,  2.4287625785073286, -1.5155202899723286,0.062354517157793179, 0.14659326097096623,-0.20446059078265477
B*08,-0.60775370020327535,-0.086449310224268591, 0.10381609965980333, -1.0827050352723968,  1.0451553404853335, -1.8349047257882218,  4.4335820931855885, 0.02501455219609721, -1.1618706978976072,-0.34799386089638584,-0.23082074288374516,-0.29857913744956543, 0.24322523537653454,-0.12042084844114369,-0.079295261846716703
B*13,-0.015121942738985789,-0.17736043359285458,0.024985252335438756,-0.25253506510464568, -1.1987829284538529,  4.6771993810620378,-0.20166581866444791, 0.14526181571227692,-0.85208654946656992,-0.29768654142223894,-0.59304342245935282,-0.71887150809612266,-0.37656464272311502,-0.10202259743721102,-0.061704998950356672
