,Cw*0102,Cw*0103,Cw*0116,Cw*0202,Cw*0205,Cw*0210,Cw*0214,Cw*0302,Cw*0303,Cw*0304,Cw*0305,Cw*0306,Cw*0401,Cw*0403,Cw*0404,Cw*0407,Cw*0408,Cw*0413,Cw*0414,Cw*0427,Cw*0501,Cw*0602,Cw*0604,Cw*0608,Cw*0609,Cw*0701,Cw*0702,Cw*0704,Cw*0705,Cw*0713,Cw*0716,Cw*0735,Cw*0801,Cw*0802,Cw*0803,Cw*0804,Cw*0813,Cw*1202,Cw*1203,Cw*1402,Cw*1403,Cw*1502,Cw*1503,Cw*1505,Cw*1507,Cw*1601,Cw*1602,Cw*1604,Cw*1608,Cw*1700,Cw*1800
A*01, 0.70972023106250959, 0.59144714439144808,-0.12464279390551357, 0.23507455440450711,-0.29766055413106235,-0.27680995179242274,-0.15732452456384832,  1.7574973507682723, 0.15952527234827837, -1.3784353087110279,-0.22492543889547906,-0.13052831588240671,-0.34603483696946646,-0.16457232760554402,-0.32024928834532584, 0.83157623404885228,-0.15211207510603245,-0.17328094544225772,-0.13012806337077173,-0.13244080979552994, 0.51390178068384451,  1.1347169300709676, 0.47026342189700487,-0.17221335803968255, -0.1243350089949391, 0.64804586363023009,-0.73831971932126694, 0.43182429278985163,-0.24400898967664847,-0.12393589286391063,-0.12850178142365332,-0.19728179480002297,-0.27392619246881411,0.098754126374283518,-0.13117413364964706, -1.1295384634594121,-0.15282948214297179,  1.5228425138771513, 0.24192811042496662,-0.88534535114757296, 0.21561832116171642, 0.16782915649656466,-0.13654684006583495,-0.15834725325693375,-0.13242544924633673,-0.23731282020205624, -0.2483447615022043, -0.1649066620889966,-0.13031422854564906,-0.09024189898178013,-0.12156998803542508
A*02, 0.87639639325116703,-0.41506006429330278, 0.30153639084875816,   0.201095152601309,-0.41282722907242581,0.057851998979062708,-0.40888987567064594,-0.54863669498539369,  1.0097974513886017,  0.2724847575443699,-0.076536056566209695,-0.36775972446302935,0.016748519469306163,-0.32475184126107015,-0.31463054592466771,-0.028700203378809051,-0.44188171950496058,-0.53043647605145117,-0.27472315467842728,-0.36209218423239575,  1.7242323001337396,-0.63697306842458046,-0.26284964871584315,-0.43813715006821735, 0.31695297180021387, 0.21028039484932248,  0.4357658655514432, 0.19012598568466213,-0.26952841001963729, 0.32692862767286068,-0.35370306622870945, 0.24996496652323749,-0.25121166811131224,0.0061022821551560231,-0.050433296874842506, 0.22118772483114429,-0.35140725706265086,-0.40944758687507915,-0.43242557950444971,  1.0802690434633639,  -0.582439743316015, 0.64225942675850922,-0.36430131470253457,-0.20649629164272959, -0.3558808517572426, 0.97851459152532738,  1.1647532901294633,-0.42575273519584733,-0.35031981922486477, 0.21202325243289352,-0.24703812978656073
A*03, 0.71428594584088123,-0.22662648434515817,-0.18370289014284133, -0.1945003714032072,-0.23337782639051835,-0.88740089974495251,-0.20382880741629211,-0.84289400242938783,  1.1226709432620796, 0.20414169711484664,-0.21897441062091669,-0.18944075294011709,  0.8093266523667928,-0.22058470156342283, -0.4718986523747411,-0.61937756405556421,-0.24989539898628813,-0.22998579515198689,-0.18652054354875422,-0.19442562367696908, 0.58467711504834297, 0.16752014189672942, 0.28360875345999054,-0.23977081754264842,-0.16977523773660774,-0.19472482829782403, 0.98160677233812499,0.072451499778228262,-0.43047987399572085,-0.18095643961707922,-0.18907524335458167, 0.22108384492429517, -0.2081281838124992,0.065482227019852679,-0.17741312041886026, 0.65032897820263036,-0.17912426282644675, 0.38125594783295091,-0.03291728035127256,-0.052924222997820847,  1.0411562805194621,-0.047930509927325823,-0.18267089354741564,-0.54889312002344137,-0.17704831503734808, 0.29743242929551311,-0.32896456587816342,   0.191530535020558, -0.1744287145490582, 0.43045524932044027, 0.64964534146353026
A*11, 0.95031554700397458,-0.069841560176448436,-0.048590318334585103,-0.88718222808915403,-0.067091944088432026,-0.80745995463181719,-0.062049338068179902,-0.53686196280679843,  1.7453451360909209,-0.13099691642099573,-0.12804507651175431,-0.053051220665084539, 0.89328337343903075,-0.067174921108771948,-0.22989404420022569,-0.18760521153934645,-0.080611747646695181,-0.064241290962324726,-0.057624479346175164,-0.051969067482398358, 0.44711098346062961,-0.79450050951836138,-0.06744987013590216,-0.098145739876821153,-0.049039428831982146, 0.54029834791051623,  1.0224691292302825, 0.17134416789397455,-0.15664011932600411,-0.054740596605701991,-0.05044030114221796,-0.070036107560782407, 0.62714796975133147,-0.58935797777603194,-0.053000455285630584,-0.55466415138453018,-0.053305184254146404,  1.0750357882897579,0.043708640411952451, 0.16947546245620981,-0.22221183720404114,  1.3873040765927873,  0.8407474336905757,-0.81382378381176157,-0.059237700045480721, -1.9929101263128046,-0.17148038419829104,-0.075798993846168464,-0.059774469354782034,-0.30487009354866862,-0.091866944122646302
A*20,-0.0014348474397171843,-0.00026329492290916474,-0.00019458354005865057,-0.0044380511987048071,-0.00026048824414882975,-0.00095403508803704976,-0.00059251447420742727,-0.0010248589557917468,-0.00089178677907727989,-0.0074483671582863753,-0.00033800763222829942,-0.00022241453924167189,-0.01901013656057025,-0.00028868817808906601,-0.00045352903214712187,-0.022467819865153643,-0.00025742782466443685,-0.00027943636669402902,-0.00021642107123709796,-0.00021016562074569899,-0.0016711542727787596,-0.20441792185665605,-0.00029668154999647656,-0.00028270448581820429,-0.00048453915126244796,-0.0080769288409204935,-0.0020951136222887505,-0.0010053345224056683,-0.0003848308602023692,-0.00020280691749754889,-0.00020322719427735619,-0.00030374316606404048,-0.00044433009058448132,0.0044406538561211064,-0.00022680609552241384,-0.0035447354688035466,-0.00022882246172301412,-0.0014601101997686161,-0.0023431986782158853,-0.0010479607591258122,-0.00044414956207860449,-0.00095146710150788012,-0.0002238800649826192,-0.00561072296028612,-0.00021856425171388956, 0.30442266403128337,-0.00030738209547172073,-0.00027683699664388437,-0.00021132351796756762,-0.007743606433390636,-0.0029075602177398665
A*23,-0.33803834398403027,-0.12262932264766389,-0.21328672505284826,  0.8670796680065509,  1.3771691003753059, 0.73363205911792895,-0.23766809263880395, 0.93655516178070342, -1.2598093219163295,0.030647244271513146,-0.29350834095450301,-0.20318392444810496, 0.34069049080531788,-0.25157768234258571, 0.16911271229331026,0.017848423021666067,-0.21192158773607278,-0.29407513282622172,-0.20188952408008765,-0.22509330141702791, 0.63109277140754028,  0.8901663697471025,-0.23973726289865971,-0.23962480153345009, -0.2007594644343477,-0.064063591652444435, 0.51112745088732214,-0.65603257592213871, 0.33782163989701808,-0.19375412265313174, 0.31326654120390873,-0.27540127955056687,-0.81388883889827901,  1.2945396805592773,-0.20019113383748235,-0.24085305169992671,-0.19180550525388018, 0.27127929783521809, 0.14507663332701184,-0.33498202645886804,-0.34370435743793598,-0.90388542935663541,-0.20312792023192425, 0.44398397033006853,-0.19552997957145679, 0.27620476853366155,-0.32781389611838851,-0.25020627957380404,-0.19790978640221063,0.066494985301632295, 0.27216363482778849
A*24, 0.34947618051864027,-0.12309881951303783,-0.09188696189898507,-0.27512871240604714,-0.11519797565848146,  -1.163928687807078,-0.12507070632941847,-0.87034060136630476,  1.8342258852301969,-0.25244702795576174,  1.1376405154167373,-0.095593571307345276, 0.31605540926657477,-0.11929889505917007,  0.3835480414446138, -0.6462820563972711,-0.14120490073332553,-0.11295164089365776,-0.10227339275529181,-0.097910598871732035, 0.24843469673881466,-0.093252342773523705,-0.12274254729862567,-0.019716768377469794,-0.10124670767446113,-0.097156740793164401,  1.8027924354610061, 0.75337017384959037, -0.2650658099438058,-0.098060326165179956,-0.095094133777898632,-0.12916205114533205,   1.771863929793126,-0.59917170745749415,-0.095107622466040334,-0.82359596527522339,-0.099686452868365527, 0.17349253448392818,-0.55478041497550235, 0.44583576343886999,-0.45565560809948075, 0.80712285206659273,-0.10567648135184257, -1.1314828413219944,-0.10628169755667222,  -0.907883461788352,-0.24342917374840922, 0.68545263130581746,-0.067282166720532138,0.017240761130352517,-0.18240623961258304
A*25, 0.18133879279321277,-0.013462517316735983,-0.01027820329873204,-0.35914174281737993,-0.016475036771152907,-0.22799097365029589,-0.012853461325254967,-0.098370765203495719,-0.45921232799578904,  0.5518511982675095,-0.02196452771469826,-0.01086757590341355,  -1.119975336780122,-0.013965833454126265,-0.030745637353545081,-0.05937053475940432,-0.012254530882550938,-0.013174031708782338,-0.010608513992352639,-0.01095505429899594, 0.33034670701350599, 0.67873186508533268,-0.01381209725630057,-0.013533844247710329,-0.010230402319999042,-0.045235596375219574,-0.30275771324593675,-0.87504655368088191,-0.01831303862234121,-0.010050917258265136,-0.010656531291440457,-0.014561805074435698,-0.037583353699170589,-0.12047458540980963,-0.011055236541283162,-0.11845663512924497,-0.011179414644804857,-0.040068278816800418,  3.3884144846456716,-0.16643796883040229,-0.30032158214629551,-0.089381815407632709,-0.010915167674054536,-0.12327048978695127,-0.011492536721332783,-0.013982543211348279,-0.015667877488316228,-0.013458369993489592,-0.010328914859267516,-0.078777524768441007,-0.14196564807722784
A*26, 0.54409523009976402,-0.081436359774054667,-0.053948392793540127,0.068478129865850682,-0.11431360101007509, 0.94731738757466488,-0.071623386069197548,-0.71029747955884048,-0.85814017178638291,  1.0559574138178383,  -0.101034043275366,-0.063156899013581971,-0.83480971345413224,-0.081031489219913586,-0.01498816726566465,-0.23483959001692187,-0.077746169960115477,-0.11023229259174912,-0.061094054957549354,-0.057620830222433146, -0.1984770142712915,-0.47356207373062303,-0.076050869015412775,  1.4175536266390341,-0.055594274187414215, -0.4066829768660799,-0.028942663214973883,-0.07612085423220924,-0.13359782424551256,-0.057820838973484501,-0.055952647944657645,-0.098800855637246984,  1.2727968249841524, 0.37048059119747506,-0.059877480023544941, -0.6474306173271942,-0.060771422729260345, 0.10013837892967532, 0.47330146365961245,-0.27966154269700494, 0.74341958581675904,-0.63306037428738426,-0.066119678091160566,-0.58171148635716929,-0.058687335879481536,-0.21432447344427885,  1.3230508889392822,-0.085485033091444312,-0.063009148625175884,-0.44643879109142021,0.067903395408835873
A*29,-0.64629010361785311,-0.10622841771961031,-0.052481514046797489,0.089876752575295968,-0.04959716157130236,-0.32954334277215264,-0.10124927864484325,-0.83518414863738999,-0.76005861731869473,-0.26850687805465856, -0.1324524291937878,-0.088623674497214769,-0.32314783802682101,-0.11938706913421235,-0.16899451262037915, 0.37746133566560014,  1.4365462734438768,-0.12593693573004164,-0.088971727092266167, 0.50056755732332803, -1.3450733264146033,  1.2024578327150055,-0.10693471205493721,-0.10671269212472662,-0.083994916968847491,  1.0976530705563787,-0.077333596243395142,-0.28246422295856971,-0.18600341043325724,-0.085393546833460093,-0.093693827959858048,-0.12616540754689737,-0.39803557483108359,  1.1193855752728945,-0.088259351825520957,  0.2064991506382958,-0.094617161774311204, 0.31459020397679138,-0.26310216180356938,-0.19343858189975346,-0.22197705805313658, -0.3750853791624138,-0.088015136737038868, 0.95570959541604472,-0.08602329637587558,  1.6710406046632968,-0.13210257457628016,-0.10759161021367525,-0.083510742191802476,-0.42917622052388354, 0.27957020593811938
