DOF	RowCount	RowFraction	Column3	logLikelihoodRatio	Pvalue	ln(Pvalue)
1	796	0.592	1.184	15.27566058	3.2515E-08	-17.24156316
1	797	0.594	1.188	15.41700453	2.81069E-08	-17.38725198
1	798	0.596	1.192	15.55965632	2.42645E-08	-17.53425074
1	799	0.598	1.196	15.70362804	2.09198E-08	-17.6825715
1	800	0.6	1.2	15.84893192	1.8012E-08	-17.83222648
1	801	0.602	1.204	15.99558029	1.54876E-08	-17.98322799
1	802	0.604	1.208	16.14358557	1.32988E-08	-18.13558845
1	803	0.606	1.212	16.29296033	1.14038E-08	-18.2893204
1	804	0.608	1.216	16.44371723	9.76524E-09	-18.4444365
1	805	0.61	1.22	16.59586907	8.35046E-09	-18.60094952
1	806	0.612	1.224	16.74942876	7.13059E-09	-18.75887236
1	807	0.614	1.228	16.90440932	6.08026E-09	-18.91821803
1	808	0.616	1.232	17.06082389	5.17721E-09	-19.07899967
1	809	0.618	1.236	17.21868575	4.4019E-09	-19.24123052
1	810	0.62	1.24	17.37800829	3.73722E-09	-19.40492397
1	811	0.622	1.244	17.53880502	3.16823E-09	-19.57009352
1	812	0.624	1.248	17.70108958	2.68187E-09	-19.73675279
1	813	0.626	1.252	17.86487575	2.26676E-09	-19.90491553
1	814	0.628	1.256	18.03017741	1.913E-09	-20.07459564
1	815	0.63	1.26	18.19700859	1.61197E-09	-20.24580711
1	816	0.632	1.264	18.36538343	1.35622E-09	-20.41856409
1	817	0.634	1.268	18.53531623	1.13927E-09	-20.59288085
1	818	0.636	1.272	18.7068214	9.55514E-10	-20.76877178
1	819	0.638	1.276	18.87991349	8.00126E-10	-20.94625143
1	820	0.64	1.28	19.05460718	6.68935E-10	-21.12533447
1	821	0.642	1.284	19.23091729	5.5835E-10	-21.30603569
1	822	0.644	1.288	19.40885878	4.65285E-10	-21.48837005
1	823	0.646	1.292	19.58844674	3.87094E-10	-21.67235263
1	824	0.648	1.296	19.7696964	3.21508E-10	-21.85799864
1	825	0.65	1.3	19.95262315	2.66586E-10	-22.04532346
1	826	0.652	1.304	20.1372425	2.20672E-10	-22.23434258
1	827	0.654	1.308	20.32357011	1.82354E-10	-22.42507166
1	828	0.656	1.312	20.51162179	1.5043E-10	-22.61752649
1	829	0.658	1.316	20.70141349	1.23878E-10	-22.81172301
1	830	0.66	1.32	20.89296131	1.01834E-10	-23.0076773
1	831	0.662	1.324	21.0862815	8.35642E-11	-23.20540561
1	832	0.664	1.328	21.28139046	6.84495E-11	-23.40492432
1	833	0.666	1.332	21.47830474	5.59675E-11	-23.60624997
1	834	0.668	1.336	21.67704105	4.56782E-11	-23.80939926
1	835	0.67	1.34	21.87761624	3.7212E-11	-24.01438902
1	836	0.672	1.344	22.08004733	3.02587E-11	-24.22123627
1	837	0.674	1.348	22.28435149	2.45586E-11	-24.42995816
1	838	0.676	1.352	22.49054606	1.98946E-11	-24.64057201
1	839	0.678	1.356	22.69864852	1.60856E-11	-24.8530953
1	840	0.68	1.36	22.90867653	1.29809E-11	-25.06754568
1	841	0.682	1.364	23.1206479	1.0455E-11	-25.28394095
1	842	0.684	1.368	23.33458062	8.40412E-12	-25.50229908
